City,Cases
Agoura Hills,6
Alhambra,8
Arcadia,6
Azuza,1
Bell,4
Bell Gardens,1
Bellflower,10
Beverly Hills,21
Burbank,7
Calabasas,7
Carson,21
Cerritos,1
Claremont,1
Compton,7
Covina,3
Culver City,6
Diamond Bar,2
Downey,12
Gardena,5
Glendale,29
Glendora,4
Hawthorne,7
Inglewood,12
La Canada Flintridge,5
La Mirada,5
La Puente,1
La Verne,1
Lakewood,8
Lancaster,18
Lawndale,2
Lynwood,8
Manhattan Beach,22
Maywood,1
Monrovia,4
Montebello,2
Monterey Park,4
Norwalk,9
Palmdale,4
Palos Verdes Estates,12
Paramount,5
Pico Rivera,2
Pomona,4
Rancho Palos Verdes,7
Redondo Beach,23
San Dimas,1
San Gabriel,5
Santa Clarita,24
Santa Monica,28
South Gate,4
South Pasadena,3
Torrance,21
Walnut,1
West Covina,5
West Hollywood,42
Whittier,4
Arleta,2
Baldwin Hills,5
Bel Air,6
Beverly Crest,14
Beverlywood,8
Boyle Heights,8
Brentwood,30
Canoga Park,2
Carthay,7
Central,2
Century City,6
Century Palms/Cove,3
Chatsworth,3
Crestview,7
Del Rey,9
Downtown,8
Eagle Rock,4
East Hollywood,3
Encino,23
Exposition Park,2
Florence-Firestone,3
Glassell Park,4
Granada Hills,8
Hancock Park,14
Harbor City,1
Harbor Gateway,4
Harvard Park,1
Highland Park,5
Hollywood,30
Hollywood Hills,19
Hyde Park,2
Koreatown,7
Lake Balboa,3
Lincoln Heights,1
Little Bangladesh,2
Los Feliz,6
Mar Vista,8
Melrose,49
Mid-city,8
Miracle Mile,7
North Hills,1
North Hollywood,18
Northridge,7
Pacific Palisades,10
Pacoima,2
Palms,12
Panorama City,4
Pico-Union,5
Playa Vista,5
Porter Ranch,2
Reseda,8
San Pedro,8
Sherman Oaks,21
Silverlake,12
South Carthay,5
South Park,3
Studio City,10
Sun Valley,3
Sylmar,4
Tarzana,17
Temple-Beaudry,5
Tujunga,2
University Park,4
Valley Glen,2
Valley Village,13
Van Nuys,4
Venice,11
Vermont Vista,2
Vernon Central,3
Watts,1
West Adams,6
West Hills,5
West Los Angeles,9
West Vernon,6
Westchester,8
Westlake,1
Westwood,16
Wholesale District,8
Wilmington,5
Wilshire Center,4
Winnetka,3
Woodland Hills,14
