Places,Count,,,,,
Agoura Hills,20,,,,,
Alhambra,27,,,,,
Arcadia,18,,,,,
Azusa,14,,,,,
Baldwin Park,15,,,,,
Bell,31,,,,,
Bell Gardens,21,,,,,
Bellflower,44,,,,,`
Beverly Hills,71,,,,,
Burbank,88,,,,,
Calabasas,21,,,,,
Carson,103,,,,,
Cerritos,29,,,,,
Claremont,10,,,,,
Compton,49,,,,,
Covina,33,,,,,
Cudahy,19,,,,,
Culver City,30,,,,,
Diamond Bar,17,,,,,
Downey,89,,,,,
Duarte,5,,,,,
El Monte,25,,,,,
El Segundo,9,,,,,
Gardena,47,,,,,
Glendale,194,,,,,
Glendora,18,,,,,
Hawthorne,62,,,,,
Hermosa Beach,17,,,,,
Huntington Park,38,,,,,
Inglewood,99,,,,,
La Canada Flintridge,16,,,,,
La Mirada,19,,,,,
La Puente,15,,,,,
La Verne,8,,,,,
Lakewood,37,,,,,
Lancaster,74,,,,,
Lawndale,22,,,,,
Lomita,17,,,,,
Lynwood,58,,,,,
Malibu,10,,,,,
Manhattan Beach,52,,,,,
Maywood,25,,,,,
Monrovia,12,,,,,
Montebello,39,,,,,
Monterey Park,28,,,,,
Norwalk,64,,,,,
Palmdale,77,,,,,
Palos Verdes Estates,31,,,,,
Paramount,34,,,,,
Pico Rivera,49,,,,,
Pomona,43,,,,,
Rancho Palos Verdes,35,,,,,
Redondo Beach,78,,,,,
Rolling Hills Estates,8,,,,,
Rosemead,11,,,,,
San Dimas,17,,,,,
San Fernando,17,,,,,
San Gabriel,12,,,,,
San Marino,5,,,,,
Santa Clarita,126,,,,,
Santa Monica,82,,,,,
South Gate,79,,,,,
South Pasadena,12,,,,,
Temple City,11,,,,,
Torrance,121,,,,,
Walnut,11,,,,,
West Covina,20,,,,,
West Hollywood,101,,,,,
Westlake Village,5,,,,,
Whittier,40,,,,,
Adams-Normandie,15,,,,,
Alsace,5,,,,,
Arleta,22,,,,,
Atwater Village,9,,,,,
Baldwin Hills,27,,,,,
Bel Air,21,,,,,
Beverly Crest,26,,,,,
Beverlywood,19,,,,,
Boyle Heights,50,,,,,
Brentwood,53,,,,,
Canoga Park,59,,,,,
Carthay,27,,,,,
Central,35,,,,,
Century City,23,,,,,
Century Palms/Cove,23,,,,,
Chatsworth,33,,,,,
Cheviot Hills,11,,,,,
Cloverdale/Cochran,10,,,,,
Country Club Park,18,,,,,
Crenshaw District,13,,,,,
Crestview,33,,,,,
Del Rey,31,,,,,
Downtown,24,,,,,
Eagle Rock,33,,,,,
East Hollywood,29,,,,,
Echo Park,9,,,,,
El Sereno,28,,,,,
Elysian Park,5,,,,,
Elysian Valley,8,,,,,
Encino,45,,,,,
Exposition Park,40,,,,,
Figueroa Park Square,7,,,,,
Florence-Firestone,39,,,,,
Glassell Park,49,,,,,
Gramercy Place,8,,,,,
Granada Hills,41,,,,,
Green Meadows,12,,,,,
